REGION|AGRUPACION_CANAL|FECHA|CUOTA_CANAL
CENTRO|BBR|2018-09-01 00:00:00|2735
CENTRO|BBR|2018-09-02 00:00:00|2822
CENTRO|BBR|2018-09-03 00:00:00|2331
CENTRO|BBR|2018-09-04 00:00:00|2068
CENTRO|BBR|2018-09-05 00:00:00|2111
CENTRO|BBR|2018-09-06 00:00:00|2212
CENTRO|BBR|2018-09-07 00:00:00|2546
CENTRO|BBR|2018-09-08 00:00:00|3005
CENTRO|BBR|2018-09-09 00:00:00|3392
CENTRO|BBR|2018-09-10 00:00:00|2409
CENTRO|BBR|2018-09-11 00:00:00|2142
CENTRO|BBR|2018-09-12 00:00:00|2200
CENTRO|BBR|2018-09-13 00:00:00|2305
CENTRO|BBR|2018-09-14 00:00:00|2691
CENTRO|BBR|2018-09-15 00:00:00|3209
CENTRO|BBR|2018-09-16 00:00:00|3666
CENTRO|BBR|2018-09-17 00:00:00|2378
CENTRO|BBR|2018-09-18 00:00:00|2099
CENTRO|BBR|2018-09-19 00:00:00|2106
CENTRO|BBR|2018-09-20 00:00:00|2199
CENTRO|BBR|2018-09-21 00:00:00|2548
CENTRO|BBR|2018-09-22 00:00:00|2975
CENTRO|BBR|2018-09-23 00:00:00|3358
CENTRO|BBR|2018-09-24 00:00:00|2379
CENTRO|BBR|2018-09-25 00:00:00|2105
CENTRO|BBR|2018-09-26 00:00:00|2144
CENTRO|BBR|2018-09-27 00:00:00|2235
CENTRO|BBR|2018-09-28 00:00:00|2549
CENTRO|BBR|2018-09-29 00:00:00|3059
CENTRO|BBR|2018-09-30 00:00:00|3322
NOROESTE|BBR|2018-09-01 00:00:00|412
NOROESTE|BBR|2018-09-02 00:00:00|386
NOROESTE|BBR|2018-09-03 00:00:00|497
NOROESTE|BBR|2018-09-04 00:00:00|553
NOROESTE|BBR|2018-09-05 00:00:00|506
NOROESTE|BBR|2018-09-06 00:00:00|602
NOROESTE|BBR|2018-09-07 00:00:00|624
NOROESTE|BBR|2018-09-08 00:00:00|673
NOROESTE|BBR|2018-09-09 00:00:00|600
NOROESTE|BBR|2018-09-10 00:00:00|565
NOROESTE|BBR|2018-09-11 00:00:00|549
NOROESTE|BBR|2018-09-12 00:00:00|558
NOROESTE|BBR|2018-09-13 00:00:00|653
NOROESTE|BBR|2018-09-14 00:00:00|700
NOROESTE|BBR|2018-09-15 00:00:00|539
NOROESTE|BBR|2018-09-16 00:00:00|591
NOROESTE|BBR|2018-09-17 00:00:00|668
NOROESTE|BBR|2018-09-18 00:00:00|537
NOROESTE|BBR|2018-09-19 00:00:00|563
